#ID	Name
G0	XPC
G1	MECOM
G2	TSC22D3
G3	HNRNPAB
G4	NOTCH1
G5	HNF4A
G6	HMGB2
G7	PBX1
G8	IRF6
G9	GATA2
G10	GFI1B
G11	MYCN
G12	HDAC7
G13	CD7
G14	NFE2
G15	MLLT3
G16	MCM7
G17	CBX7
G18	VDR
G19	YBX1
G20	RUNX2
G21	NR3C2
G22	NFIA
G23	MCM5
G24	XRCC6
G25	KLF6
G26	CBFB
G27	EYA2
G28	KLF3
G29	MCM4
G30	RORA
G31	CTR9
G32	NUPR1
G33	SATB1
G34	PRDM16
G35	FOXO1
G36	IRF8
G37	H1F0
G38	ELF1
G39	MEF2C
G40	ELL2
G41	TRIB3
G42	PGR
G43	RARB
G44	TEAD2
G45	SPI1
G46	HOXA9
G47	DACH1
G48	MAML3
G49	ZBTB20
G50	SOX18
G51	RUNX1T1
G52	NDN
G53	MEIS1
G54	MYC
G55	HLF
G56	REL
G57	BTG2
G58	IKZF1
G59	ESR1
G60	SLC22A3
G61	CREG1
G62	ENG
G63	ACAP1
G64	VLDLR
G65	HAAO
G66	C230085N15RIK
G67	4833407H14RIK
G68	CTNNAL1
G69	GM8203
G70	COX6A2
G71	GM5111
G72	GPR171
G73	ADGRG3
G74	ARRDC4
G75	ERP29
G76	AMIGO2
G77	LSP1
G78	IFITM1
G79	ABCG3
G80	PBLD2
G81	CD9
G82	HID1
G83	SP100
G84	LY86
G85	IGLV1
G86	NEO1
G87	FCGRT
G88	ANGPT1
G89	NCEH1
G90	RNF125
G91	COX6A1
G92	IFI209
G93	CLU
G94	CLEC12A
G95	RNF38
G96	UNC45BOS
G97	H2AFY
G98	LCP1
G99	PDGFRB
G100	CNN3
G101	NDNF
G102	PKIB
G103	LRRC8C
G104	MPDZ
G105	SLC18A2
G106	CCDC136
G107	DUSP5
G108	CTNND2
G109	TMEM246
G110	2810468N07RIK
G111	RHOF
G112	TM6SF1
G113	SMTNL1
G114	JAM3
G115	LYN
G116	IGFBP4
G117	SLC16A10
G118	CD63
G119	GIMAP1
G120	RAB40B
G121	DYNLL1
G122	BTLA
G123	NAPSA
G124	PPP1R15A
G125	TTC39B
G126	ENPP5
G127	NDRG2
G128	ITPR2
G129	TUBB4B
G130	PRKCH
G131	C130089K02RIK
G132	PARVG
G133	SNAP47
G134	CAPG
G135	ARHGEF18
G136	PAQR5
G137	CTTN
G138	ZFP658
G139	TFEC
G140	ICA1
G141	RRAS
G142	SPC24
G143	MPZL1
G144	GIMAP4
G145	WFDC17
G146	MMRN1
G147	DCK
G148	NEAT1
G149	IGLC2
G150	ADGRL4
G151	SERPINF1
G152	IGHV1-77
G153	FAM171A1
G154	GM20342
G155	SLC25A5
G156	RHOJ
G157	LGALS1
G158	CTSG
G159	FSTL1
G160	C1RL
G161	TSPAN13
G162	TBC1D5
G163	PSTPIP1
G164	TMEM173
G165	FDFT1
G166	IL18BP
G167	TMEM206
G168	ITGAM
G169	RAB38
G170	RBPMS
G171	ARHGAP18
G172	GOLM1
G173	CCT2
G174	GPX1
G175	TGM2
G176	S100A6
G177	NUCB2
G178	PPIC
G179	SCRN1
G180	ADAM17
G181	SLC6A15
G182	MSMO1
G183	GAS2L3
G184	NCAPD2
G185	CD44
G186	CDK17
G187	DUSP6
G188	CSGALNACT1
G189	FGD2
G190	TFR2
G191	RANBP1
G192	CTSW
G193	GIMAP3
G194	PF4
G195	TRAF1
G196	EVI2A
G197	JAM2
G198	IGF1
G199	COX7B
G200	F2R
G201	CERS4
G202	SLC29A1
G203	EMB
G204	SERPINA3N
G205	ANKRD33B
G206	USP11
G207	HCK
G208	TPM4
G209	9030619P08RIK
G210	AI504432
G211	ADGRG1
G212	RNF213
G213	DOK2
G214	KAZALD1
G215	ATP8B4
G216	GM26917
G217	FLNA
G218	GGTA1
G219	SLC39A13
G220	F630028O10RIK
G221	PDGFD
G222	LARS2
G223	ZFP367
G224	SSH2
G225	KIF17
G226	NUDT19
G227	PLIN3
G228	PDGFC
G229	XIST
G230	CAMSAP2
G231	GM4759
G232	GM1966
G233	LGMN
G234	CHRNB1
G235	CYP26B1
G236	POLA2
G237	D630039A03RIK
G238	CD74
G239	GM19331
G240	PGRMC1
G241	PLEK
G242	OBSL1
G243	TRPC6
G244	STARD4
G245	NLRC3
G246	GNG2
G247	WLS
G248	TYROBP
G249	SAT1
G250	CD52
G251	PROCR
G252	INHBA
G253	NKG7
G254	TM4SF1
G255	EPSTI1
G256	TSPAN3
G257	SLC2A3
G258	ART4
G259	TNS2
G260	PYGL
G261	APLP2
G262	ARHGDIB
G263	FUT8
G264	IGHJ4
G265	PRUNE2
G266	ANXA2
G267	TCAF1
G268	BPIFC
G269	SLA
G270	PLXNA4OS1
G271	PRSS57
G272	SLC16A11
G273	PDE1B
G274	GIMAP1OS
G275	KLRD1
G276	TESPA1
G277	ARPP21
G278	OTUB2
G279	MN1
G280	PPCDC
G281	SPNS3
G282	OSGIN1
G283	IL12A
G284	SDC1
G285	TMSB4X
G286	IGHD
G287	ANKRD44
G288	CD53
G289	CD33
G290	TLR7
G291	VEGFC
G292	FADS1
G293	VAMP1
G294	GSTT1
G295	F11R
G296	E430014B02RIK
G297	CADPS2
G298	KRT18
G299	SDSL
G300	CYFIP2
G301	RCSD1
G302	DEPP1
G303	UNC93B1
G304	SELL
G305	WFDC18
G306	AMPD2
G307	GUCY1A1
G308	JCHAIN
G309	PDE1C
G310	VWF
G311	ST8SIA4
G312	MGAT1
G313	ARHGAP15
G314	LACTB
G315	NCKAP1
G316	COL4A1
G317	RFTN1
G318	LY9
G319	RPS27L
G320	SLC35D3
G321	TMEM14C
G322	SLFN2
G323	RASSF2
G324	MIR6240
G325	COL4A2
G326	GPC1
G327	NAV1
G328	XDH
G329	OTULINL
G330	TBXA2R
G331	NPDC1
G332	FHL1
G333	CLEC2I
G334	DNTT
G335	RHBDF1
G336	SGMS1
G337	CPQ
G338	CSF3R
G339	PRR5
G340	CLCA3A1
G341	SH2D5
G342	KIT
G343	FCRL1
G344	TMEM37
G345	H2-OB
G346	HACD4
G347	AKNA
G348	ITGAL
G349	KCTD12
G350	NT5C3
G351	BCL2
G352	NWD1
G353	RASIP1
G354	IGKC
G355	RAB27B
G356	SEMA3D
G357	PTPRE
G358	TTLL7
G359	SDC2
G360	ARHGEF39
G361	MYO5A
G362	BLNK
G363	GIMAP5
G364	IFI27
G365	TBXAS1
G366	CD38
G367	CARD6
G368	NHP2
G369	GM45837
G370	FGD5
G371	CDT1
G372	CORO7
G373	CTSF
G374	PIRB
G375	SLAMF1
G376	SERPINB6A
G377	TOP2A
G378	NEURL3
G379	GHR
G380	GM37124
G381	MILR1
G382	FGFR3
G383	PARP8
G384	CD81
G385	ICOS
G386	TIE1
G387	SHISA9
G388	SCARF1
G389	SELPLG
G390	GM973
G391	COQ8A
G392	FUCA2
G393	AFDN
G394	IL17RE
G395	RAG2
G396	TRIM16
G397	PLEKHG6
G398	SERPINB1A
G399	SERP1
G400	NPM1
G401	MAGED2
G402	EBI3
G403	IFI213
G404	ESAM
G405	PLCL1
G406	ALDH1A1
G407	CD34
G408	FAM110C
G409	ARHGAP29
G410	TIFAB
G411	TMEM123
G412	GSN
G413	PLEKHB1
G414	SMPDL3A
G415	CLEC14A
G416	GPR65
G417	GM4951
G418	IL17RA
G419	RPL41
G420	GP9
G421	CLEC1A
G422	DEF8
G423	PLXDC2
G424	9530082P21RIK
G425	TXNIP
G426	PAG1
G427	ITGB7
G428	2610307P16RIK
G429	CX3CL1
G430	ADSSL1
G431	IFI27L2A
G432	TMEM268
G433	TRIM59
G434	SOCS2
G435	CSF1R
G436	PLAC8
G437	CD244A
G438	ARHGEF28
G439	BC035044
G440	ZYX
G441	PAFAH2
G442	CD55
G443	EFNA1
G444	MAGED1
G445	PECAM1
G446	SPNS2
G447	TFPI
G448	ARL11
G449	VAMP5
G450	5430427O19RIK
G451	SLCO3A1
G452	P2RX1
G453	GM10419
G454	ITM2A
G455	GDF3
G456	ITSN1
G457	LAPTM5
G458	DRC7
G459	CTSH
G460	CCDC112
G461	TNFAIP2
G462	ZMIZ1
G463	METTL7A1
G464	DHRS3
G465	ME2
G466	RGS19
G467	IGHV1-81
G468	GBP9
G469	CD27
G470	ATP1A3
G471	MAMDC2
G472	PDCD4
G473	CPNE8
G474	ZNRF2
G475	UCP2
G476	DUSP1
G477	PEAR1
G478	RNASE6
G479	CARD11
G480	N4BP3
G481	H2-DMA
G482	LTB
G483	PPM1G
G484	SLBP
G485	LAX1
G486	MCTP2
G487	UQCR11
G488	SAMSN1
G489	IFITM3
G490	ELOVL5
G491	APP
G492	OCLN
G493	SHROOM4
G494	CAMK1D
G495	CCL9
G496	UBE2L6
G497	CRIP1
G498	KLHL4
G499	SNAP23
G500	RAMP1
G501	NRROS
G502	TINAGL1
G503	KCNK5
G504	SLC16A2
G505	GPX3
G506	GBP4
G507	CTSS
G508	PLXNA1
G509	CD63-PS
G510	LONP2
G511	JPT1
G512	GCSAM
G513	CDKN1C
G514	SULT1A1
G515	LHCGR
G516	TIPIN
G517	AFF3
G518	ARHGAP27
G519	IFI206
G520	HSD3B7
G521	CDK18
G522	PRNP
G523	P2RY14
G524	RNF13
G525	FRMD6
G526	DENND2D
G527	ABCG2
G528	KBTBD11
G529	NSMF
G530	FKBP9
G531	DOCK10
G532	CKS1B
G533	CDK6
G534	SLC26A11
G535	GMNN
G536	APOE
G537	SYTL1
G538	GSTM1
G539	CORO1A
G540	TSPAN2
G541	C030034L19RIK
G542	MYLK
G543	IGHV1-69
G544	HSPE1
G545	BDH2
G546	TMEM176B
G547	NOXA1
G548	SSTR2
G549	ZFP37
G550	STXBP1
G551	TAPT1
G552	PRPS2
G553	IGHV1-82
G554	TRPV2
G555	UAP1L1
G556	PLD4
G557	RASAL3
G558	NCF1
G559	MOGS
G560	IGHV1-53
G561	UHRF1
G562	BGN
G563	OBSCN
G564	IL7R
G565	PRIM1
G566	WFDC2
G567	IPCEF1
G568	GM11346
G569	ROBO4
G570	UBA7
G571	CHIL5
G572	UPP1
G573	LDHB
G574	CAV2
G575	INSRR
G576	IGHV1-74
G577	SYK
G578	PDZK1IP1
G579	GNG11
G580	MYCT1
G581	TEK
G582	PTP4A3
G583	MPEG1
G584	GM2A
G585	DTL
G586	TES
G587	SLC9A9
G588	CTSL
G589	NAIP6
G590	PKIA
G591	CISH
G592	GGT5
G593	IL18RAP
G594	MKI67
G595	TRIM47
G596	GM10384
G597	CPXM1
G598	CIPC
G599	DOCK11
G600	GPR18
G601	PLSCR4
G602	RUSC2
G603	MLPH
G604	ANXA5
G605	ITGA6
G606	CTSB
G607	SFRP1
G608	CRACR2B
G609	CCNG2
G610	IL1R1
G611	ADAMTSL5
G612	IRAK3
G613	MRVI1
G614	CES2G
G615	RASA4
G616	PTGER2
G617	FLT3
G618	CMAH
G619	GAA
G620	DPP4
G621	FUT7
G622	PTGS1
G623	SELENOP
G624	CST7
G625	CCL3
G626	SERPINA3G
G627	CHST2
G628	RP2
G629	PLK2
G630	RGS2
G631	PLPPR3
G632	SLC44A2
G633	ITGB5
G634	FAM171B
G635	ZFP422
G636	DDX4
G637	EMP1
G638	GM15564
G639	PLXNC1
G640	CDK19
G641	CAVIN2
G642	EEPD1
G643	IGHM
G644	LPCAT2
G645	LAG3
G646	GRAMD1A
G647	LCK
G648	SIGLECG
G649	CD48
G650	RHOH
G651	GM30948
G652	CASP12
G653	CFP
G654	CCR7
G655	ZFP612
G656	SLC43A2
G657	MPO
G658	ZFP62
G659	ATPIF1
G660	PANX1
G661	ABHD17B
G662	GDA
G663	MAN1A
G664	VAV3
G665	H2-Q6
G666	AC174780.1
G667	CD69
G668	SLC39A6
G669	IGHV1-76
G670	SERPINA3F
G671	CAR2
G672	PKN3
G673	ARID5A
G674	CD93
G675	FCHO2
G676	UBASH3A
G677	ITGB2
G678	LDHD
G679	GBP2
G680	GIMAP8
G681	OAS2
G682	MPL
G683	SLC18A1
G684	MTUS1
G685	STK17B
G686	CLIP3
G687	STK10
G688	TALDO1
G689	CCR9
G690	AP1S2
G691	IL10RA
